clr.Ag,clr.Cu,clr.Pb,clr.Zn,clr.Mo,clr.Ni,clr.Cd,clr.Te,clr.Ba,clr.As,clr.Sb,clr.Hg
-0.434591784,4.257589779,0.339641505,-2.201451987,-1.962943588,-4.078369265,-7.562948255,0.289850841,-1.775784172,0.959249782,0.212035381,-2.664151742
-0.39437031,4.269640376,-0.732184289,-2.76154861,-1.710510411,-4.310361901,-7.920104035,0.185609073,-1.912466628,0.999471257,0.252256855,-2.542804723
-0.279722301,3.746711056,-0.152828337,-1.412401144,-1.487829404,-4.418083748,-6.80405045,0.764965024,-1.596704862,1.114119266,0.366904864,-2.782978089
-0.620727472,4.028894477,-1.213389451,-2.547729831,-2.548390518,-3.764125156,-7.718707776,-0.29559609,-2.934845801,0.773114095,0.025899693,-3.854870769
-0.351575595,3.935140859,-0.022237848,-2.114851027,-1.765207153,-4.102725375,-7.181839258,0.487587276,-1.643136533,1.042265971,0.295051569,-2.81846374
-0.488707979,4.257540805,-0.908061163,-2.439910223,-2.243062229,-3.416419815,-7.560244434,0.009732199,-1.92390324,0.905133587,0.157919186,-2.87007395
-0.415216746,4.127433083,-0.573183979,-2.422087595,-1.908185045,-3.603587543,-7.675953199,0.344609383,-1.986769523,0.978624821,0.231410419,-2.717801839
-0.63291704,4.086663498,-0.912426711,-2.807668761,-2.247427778,-2.756375467,-7.627248818,0.005366651,-2.676332759,0.760924527,0.013710125,-3.867060337
-0.604650708,4.073544613,-1.179319123,-2.627013019,-2.514320189,-3.246052227,-7.760250635,-0.261525761,-2.958370154,0.789190858,0.041976457,-3.838794005
-0.588474087,4.461770345,-0.505135955,-2.879674621,-2.471248812,-3.341710081,-8.261373597,-0.218454383,-2.731254616,0.80536748,0.058153078,-3.129470203
-0.183319875,3.564400079,0.383018458,-2.306251848,-1.583094398,-4.608836941,-6.994803643,0.66970003,-1.653926662,1.210521691,0.46330729,-2.686575664
-0.72200304,4.226111897,-0.186738343,-2.286399543,-2.489323436,-2.385929138,-7.616805224,-0.236529008,-2.1674476,0.671838526,-0.075375876,-3.136705432
-0.603703458,3.986199256,-0.98819834,-3.018840537,-2.323199407,-3.109812316,-8.029475832,-0.070404979,-2.440762687,0.790138109,0.042923707,-3.407063839
-0.560418454,3.898148257,-0.876764703,-2.799593801,-2.21176577,-3.553365603,-7.795630295,0.041028659,-2.553193387,0.833423112,0.086208711,-3.160837991
-0.644462538,4.061512347,-1.235751833,-2.920624676,-2.5707529,-3.057825797,-8.053862292,-0.317958472,-2.692366024,0.749379029,0.002164627,-3.878605835
-0.313887732,3.320503537,0.935680346,-1.812021575,-1.366904747,-3.913935972,-7.088360034,0.885889681,-1.413991445,1.079953835,0.332739433,-2.728590123
-0.581986423,4.240248268,-1.193670715,-2.507264127,-2.528671782,-3.564633457,-7.837669808,-0.275877353,-2.812645776,0.811855144,0.064640742,-3.81612972
-0.528231739,4.482403556,-1.415751628,-2.945929639,-2.750752695,-4.465755392,-8.28680662,-0.497958267,-2.782890011,0.865609828,0.118395426,-3.031487527
-0.429768391,4.649186147,-1.06801467,-3.268924825,-2.403015737,-3.38670786,-8.545263284,-0.150221308,-2.725309378,0.964073175,0.216858774,-3.09336683
-0.504859581,4.115348482,-0.610641061,-2.259900468,-1.945642128,-3.646194829,-7.367162597,0.307152301,-1.135312693,0.888981985,0.141767584,-2.666366076
-0.647929988,4.546708949,-0.912316498,-3.080226687,-2.247317564,-2.886070673,-7.882107168,0.005476864,-2.510458528,0.745911579,-0.001302823,-3.268968812
-0.559669758,4.237872321,-0.717636991,-3.135067301,-2.052638058,-3.257669623,-7.862839809,0.200156371,-2.59767465,0.834171809,0.086957407,-3.793813055
-0.640431735,4.296872286,-0.997527643,-3.112552069,-2.33252871,-2.680131151,-7.999954723,-0.079734281,-3.033771191,0.753409832,0.00619543,-3.874575032
-0.536959135,4.355893124,-0.60868511,-3.157464483,-1.943686177,-2.956793788,-7.740655762,0.309108252,-2.569677818,0.856882432,0.10966803,-3.771102432
-0.509040087,4.183141476,-0.488914099,-2.84324754,-1.823915166,-3.397558276,-7.469923932,0.428879263,-1.939804951,0.88480148,0.137587078,-3.194617432
-0.353761643,5.038487544,-0.657368866,-2.190775621,-1.992369933,-4.687516729,-8.103102848,0.260424496,-2.196675344,1.496838326,0.292865522,-2.820649787
-0.619998019,4.099582518,-0.891974698,-2.778672922,-2.226975765,-2.778672922,-7.615644722,0.025818664,-2.548656492,0.773843548,0.026629146,-3.854141316
-0.362809165,4.211589362,-0.675532221,-2.469205567,-2.010533288,-3.76452815,-7.676551155,0.24226114,-2.002182566,1.031032402,0.283818,-2.923223367
-0.505336173,4.442778764,-1.071589391,-3.152386682,-2.406590458,-4.80694503,-8.148423177,-0.153796029,-2.618304197,1.827101883,0.141290991,-3.147428407
-0.358641233,3.424170041,-0.431705804,-3.015598621,-2.174675109,-3.862896482,-7.529797029,0.078119319,-1.826014554,1.035200333,0.287985932,-3.59278453
-0.468895759,4.195114927,-0.949928568,-2.687848375,-2.284929634,-4.048824928,-7.821085991,-0.032135206,-2.224275636,0.924945808,0.177731406,-3.703039056
-0.484719219,4.385143522,-1.334773749,-2.723032422,-2.669774815,-4.342941634,-8.063909403,-0.416980387,-2.943575191,0.909122348,0.161907946,-3.718862516
-0.550029436,5.080421766,-1.458772962,-2.611052392,-2.793774029,-3.915108655,-7.636076424,-0.540979601,-2.490099782,0.843812131,0.096597729,-3.784172733
-0.5957461,4.33062885,-1.402456901,-2.673169478,-2.737457968,-4.02771514,-7.98229776,-0.484663539,-2.561378072,0.798095467,0.050881065,-3.829889397
-0.499744779,5.015637093,-1.331607261,-2.628650112,-2.666608328,-3.959884696,-7.375470815,-0.413813899,-2.885369959,0.894096788,0.146882386,-3.733888076
-0.545151661,4.847097525,-1.176823294,-2.609836976,-2.511824361,-4.164466652,-7.649045643,-0.259029932,-2.287549374,0.848689906,0.101475504,-2.89425677
-0.300652297,4.580771265,-1.123837935,-2.757849803,-2.458839002,-4.340259043,-7.824838034,-0.206044574,-2.66628261,1.093189269,0.345974867,-3.534795594
-0.509322717,4.501312577,-1.119660208,-2.699666534,-2.454661275,-3.690065238,-7.724690565,-0.201866846,-2.853817213,0.884518849,0.137304448,-3.743466014
-0.611274022,3.947376148,-0.723729609,-2.759198501,-2.058730675,-2.563889749,-7.467552923,0.194063753,-2.683690949,0.782567545,0.035353143,-3.253366255
-0.622584133,4.43732221,-1.428186901,-2.74322818,-2.763187967,-4.159081343,-8.154485957,-0.510393539,-2.573936123,1.382166516,0.024043032,-3.330634334
-0.400444802,4.173953725,-0.702218844,-2.240900136,-2.037219911,-3.637144828,-7.632549442,0.215574518,-2.390112534,0.993396765,0.246182363,-3.042537035
-0.221908591,3.690114415,-0.467063739,-2.386846691,-1.802064805,-4.466288233,-7.322258564,0.450729623,-1.766606281,1.171932976,0.424718574,-2.725164379
-0.337242207,3.715859397,-0.440789049,-2.015939622,-1.775790116,-3.807699091,-7.22328521,0.477004313,-1.526775495,1.05659936,0.309384958,-2.937661744
-0.619795352,4.029826596,-0.893660606,-2.855393647,-2.228661673,-2.508197447,-7.60221435,0.024132755,-2.748148116,0.774046214,0.026831812,-3.853938649
-0.168695904,3.8844057,-0.347628265,-2.351027521,-1.325954388,-4.975696113,-7.361662815,0.570165097,-1.903002798,1.225145663,0.477931261,-2.533801354
-0.596467522,4.249864721,-1.044761632,-2.576420165,-2.023087755,-3.367547754,-7.670437068,-0.12696827,-2.089887234,1.57690584,0.050159643,-3.399827903
-0.426161403,4.87970317,-0.938894979,-2.772209211,-1.917221102,-3.637206648,-7.591789268,-0.021101618,-2.720915916,1.447969064,0.220465762,-3.6603047
-0.31011009,4.436138695,-0.722916605,-2.416761398,-1.701242727,-4.083357725,-7.693099858,0.194876757,-2.281842081,1.083731477,0.336517075,-3.544253387
-0.31138307,4.263015457,-0.835933624,-2.432960029,-1.121112566,-4.283559998,-7.457984061,0.081859738,-2.65610358,1.082458497,0.335244095,-3.545526367
-0.667250527,4.421093751,-1.359081052,-2.839696962,-2.694082119,-3.673922741,-7.946959092,-0.44128769,-2.965737683,0.726591039,-0.020623363,-3.901393824
-0.156951634,3.659761192,-0.264962769,-1.619138089,-1.599963836,-4.184087447,-7.040057778,0.652830593,-1.545030117,1.236889933,0.489675531,-3.391094931
-0.584564349,4.174756517,-0.908117836,-2.552061247,-2.243118903,-3.245208428,-7.710616671,0.009675525,-2.224557681,0.809277218,0.062062816,-3.818707646
