NMUESTRA,LONGITUD,LATITUD,ELEVACION,Pathf Au-Ag,Perjudiciales lixivcn,,,,,,,,,,,,
3367,784521.27,95060.22,1567.9,-5.0051554,-7.293723422,,,,,,,,,,,,
3511,784642.24,95199.89,1604.88,-5.182782523,-7.622193414,,,,,,,,,,,,
7153,786414.69,90074.85,1297.86,-5.073262129,-7.294274444,,,,,,,,,,,,
7185,804971.93,95681.70,901.63,-5.33985007,-7.863271417,,,,,,,,,,,,
7432,785207.25,95090.18,1436.94,-5.084570011,-7.35109881,,,,,,,,,,,,
7637,787183.05,87856.19,1050.05,-5.118794114,-7.61125609,,,,,,,,,,,,
8230,786498.71,96737.53,1196.79,-5.100807132,-7.524102668,,,,,,,,,,,,
8647,805439.52,95921.93,897.98,-5.161219586,-7.71122475,,,,,,,,,,,,
8715,804623.80,95112.59,879.65,-5.300718357,-7.867537328,,,,,,,,,,,,
8848,787777.08,88848.56,962.93,-5.160824454,-7.68926653,,,,,,,,,,,,
8851,784398.91,93142.28,1399.79,-5.217192742,-7.301748241,,,,,,,,,,,,
8894,787654.14,88470.78,971.56,-4.880520317,-7.385365764,,,,,,,,,,,,
9139,806004.11,97063.51,1171.41,-5.198692398,-7.755260234,,,,,,,,,,,,
9161,807595.65,96661.18,1200,-5.215276909,-7.646336423,,,,,,,,,,,,
9197,807814.37,96985.33,1199.78,-5.278264836,-7.926268847,,,,,,,,,,,,
9237,786607.99,90142.21,1244.28,-4.941041214,-7.05403239,,,,,,,,,,,,
9393,807667.15,96254.18,1175.28,-5.308387268,-7.903384395,,,,,,,,,,,,
9455,807754.07,96178.72,1170.31,-5.428458586,-7.971225364,,,,,,,,,,,,
9819,785349.20,95527.85,1480.76,-5.326271488,-7.97335952,,,,,,,,,,,,
9918,785550.73,95365.36,1409.89,-4.960225562,-7.391914593,,,,,,,,,,,,
10022,802791.83,96422.86,828.45,-5.079212273,-7.628544434,,,,,,,,,,,,
10054,802769.25,96599.07,859.61,-5.207105375,-7.723178458,,,,,,,,,,,,
10111,804756.77,96883.73,1134.28,-5.211577516,-7.818291807,,,,,,,,,,,,
10135,803607.86,95982.08,991.53,-5.155545526,-7.666506646,,,,,,,,,,,,
10158,804129.18,95482.86,858.69,-5.064762346,-7.465991773,,,,,,,,,,,,
10362,785650.32,96235.45,1395.09,-5.147960731,-7.615323765,,,,,,,,,,,,
10363,805637.26,96447.82,990.01,-5.150930155,-7.708331969,,,,,,,,,,,,
10599,786437.58,96631.61,1198.36,-5.194029394,-7.652668648,,,,,,,,,,,,
10701,807563.45,93504.69,1029.46,-5.319721662,-7.623594051,,,,,,,,,,,,
10739,804857.67,93857.47,806.03,-5.371882319,-7.747052122,,,,,,,,,,,,
10795,787598.05,96518.77,903.56,-5.324223732,-7.86861384,,,,,,,,,,,,
10807,808017.29,92982.15,999.16,-5.489801441,-8.068451137,,,,,,,,,,,,
10908,790924.70,92358.70,815.75,-5.335417143,-7.992109782,,,,,,,,,,,,
10922,791067.47,92505.72,810.92,-5.379531027,-8.011151419,,,,,,,,,,,,
10952,791232.06,92240.23,800.28,-5.378320679,-7.917311138,,,,,,,,,,,,
11022,790692.87,93060.48,849.32,-5.212011198,-7.699823487,,,,,,,,,,,,
11218,791449.36,91972.32,816.06,-5.50850395,-8.046080696,,,,,,,,,,,,
11231,791904.01,92020.88,900.42,-5.341858548,-7.894594147,,,,,,,,,,,,
11256,804920.31,96776.04,1032.52,-5.065394042,-7.491787984,,,,,,,,,,,,
11326,791593.99,91486.06,898.35,-5.280272921,-7.793544235,,,,,,,,,,,,
11354,786480.84,96972.82,1158.6,-5.191258538,-7.648111872,,,,,,,,,,,,
11526,785174.02,94844.06,1406.49,-5.299262821,-7.569070104,,,,,,,,,,,,
11563,787848.06,91624.53,884.19,-5.117868018,-7.485586742,,,,,,,,,,,,
11569,805261.88,96289.32,948.07,-5.158064657,-7.706424419,,,,,,,,,,,,
11615,784372.27,93589.27,1396.33,-5.29360974,-7.531882695,,,,,,,,,,,,
11637,787062.61,86022.70,1191.42,-5.049412874,-7.530323371,,,,,,,,,,,,
11649,787205.09,86202.30,1179.26,-5.229688292,-7.735021762,,,,,,,,,,,,
11718,788678.96,96662.62,770.92,-5.294088918,-7.846394055,,,,,,,,,,,,
11966,787231.36,96850.42,1006.71,-5.328972223,-7.844807347,,,,,,,,,,,,
12070,786664.18,86273.11,1135.98,-5.335660956,-7.941631901,,,,,,,,,,,,
12088,785170.08,91082.57,1276.21,-5.241656257,-7.616378532,,,,,,,,,,,,
12283,785222.43,87533.12,1233.09,-5.162864582,-7.756582441,,,,,,,,,,,,
12513,784273.76,90330.69,1395.6,-5.143216677,-7.336787421,,,,,,,,,,,,
12573,784789.92,89973.87,1399.16,-4.990664084,-6.949009423,,,,,,,,,,,,
12594,786174.06,86585.42,1185.57,-5.210209533,-7.713231396,,,,,,,,,,,,
12627,785447.51,90379.72,1272.63,-4.867369344,-6.948241382,,,,,,,,,,,,
12662,786682.18,87458.44,1003.91,-5.142310245,-7.667687457,,,,,,,,,,,,
12666,785193.34,87348.73,1234.79,-5.124032868,-7.607007315,,,,,,,,,,,,
12671,801672.39,97063.90,854.76,-5.29996853,-7.72666893,,,,,,,,,,,,
12696,784395.89,90155.34,1398.65,-4.906792542,-6.994765325,,,,,,,,,,,,
12702,807888.67,88894.11,1216.23,-5.35743134,-7.899561917,,,,,,,,,,,,
12704,810252.29,94207.22,1200.66,-5.378370534,-7.851564299,,,,,,,,,,,,
12706,787967.07,88854.28,912.08,-5.140773815,-7.66716409,,,,,,,,,,,,
12711,795956.61,82224.11,1413.65,-5.119303314,-7.390114326,,,,,,,,,,,,
12714,807836.74,86969.53,1440.3,-5.016789063,-7.31698858,,,,,,,,,,,,
12718,790075.32,87079.03,1065.93,-5.152552464,-7.579849061,,,,,,,,,,,,
12721,797930.33,92859.38,1064.59,-5.403216508,-8.004003387,,,,,,,,,,,,
12725,788906.16,88401.21,1000.98,-5.268474193,-7.981492993,,,,,,,,,,,,
12730,793886.75,84223.05,1400.22,-5.074332892,-7.370773079,,,,,,,,,,,,
12731,788117.28,89675.22,924.57,-5.118529185,-7.620013235,,,,,,,,,,,,
12738,809536.84,92169.58,884.52,-5.268851281,-7.803613879,,,,,,,,,,,,
12743,799407.23,92426.32,1205.68,-5.249804157,-7.925111382,,,,,,,,,,,,
12745,793286.01,84438.92,1399.97,-5.001108757,-7.571650362,,,,,,,,,,,,
12752,796841.56,82153.25,1599.11,-4.824414226,-6.799191302,,,,,,,,,,,,
12753,793125.16,84750.82,1399.35,-5.323858199,-7.974133642,,,,,,,,,,,,
12759,797298.00,88892.57,1200.09,-5.329081485,-7.905352938,,,,,,,,,,,,
12763,801848.86,88129.88,1612.38,-4.815220192,-6.992692639,,,,,,,,,,,,
12765,797778.62,80512.87,1604.62,-4.810770855,-7.304044678,,,,,,,,,,,,
12770,801126.43,85762.59,1599.92,-4.9926106,-7.412036113,,,,,,,,,,,,
12771,798682.11,87633.77,1399.81,-5.385529235,-7.975793846,,,,,,,,,,,,
12772,798100.06,87720.03,1398.63,-5.460251821,-8.083590955,,,,,,,,,,,,
12777,796563.01,81167.81,1599.26,-4.755014902,-6.784245531,,,,,,,,,,,,
12778,789578.19,95095.57,761.73,-5.286341287,-7.810535518,,,,,,,,,,,,
12784,802800.82,84671.48,1799.69,-5.016584785,-7.482903128,,,,,,,,,,,,
12786,794523.67,79537.11,1799.78,-4.691003772,-6.793540041,,,,,,,,,,,,
12790,798310.90,79650.10,1789.65,-4.814176956,-7.013653674,,,,,,,,,,,,
12791,788290.60,89319.80,900.17,-5.338305814,-7.995493894,,,,,,,,,,,,
12793,794678.40,96355.49,698.54,-5.329042879,-7.933034892,,,,,,,,,,,,
12797,795151.59,89619.40,1198.76,-5.347242624,-7.97997107,,,,,,,,,,,,
12799,792984.58,89909.95,999.89,-5.312514692,-7.897678068,,,,,,,,,,,,
12802,807041.76,91121.37,998.67,-5.315666873,-7.925511471,,,,,,,,,,,,
12804,809361.58,93595.00,1001.25,-5.426426076,-7.958745124,,,,,,,,,,,,
12806,792622.38,85914.12,1204.61,-5.344633926,-7.770490244,,,,,,,,,,,,
12811,795496.34,82721.21,1399.92,-5.032871514,-7.253520909,,,,,,,,,,,,
12814,807984.01,88127.96,1354.77,-4.989954137,-7.152401313,,,,,,,,,,,,
12816,810379.71,94164.40,1200.84,-5.275351414,-7.778242313,,,,,,,,,,,,
12818,788129.47,88858.60,901.87,-5.101128261,-7.404186058,,,,,,,,,,,,
12824,799625.88,78900.88,1799.8,-5.105111564,-7.437280165,,,,,,,,,,,,
